Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Adjusted_User_score
The Wolf Among Us,PS4,2014,Adventure,Telltale Games,0.1,0.07,0,0.04,0.21,83,6,8.4,259,Telltale Games,M,84
State of Decay,Xbox One,2015,Strategy,Microsoft Game Studios,0.14,0.05,0,0.02,0.21,,,,,,, 
NBA Live 15,Xbox One,2014,Sports,Electronic Arts,0.17,0.02,0,0.02,0.21,53,9,6.8,53,EA Sports,E,68
Tony Hawk's Pro Skater 5,PS4,2015,Sports,Activision,0.09,0.08,0,0.03,0.21,32,43,1.5,427,Robomodo,T,15
Assassin's Creed The Ezio Collection,PS4,2016,Action,Ubisoft,0.04,0.13,0,0.03,0.2,72,32,7.4,49,Ubisoft Montreal,M,74
Saints Row IV,Xbox One,2015,Action,Deep Silver,0.1,0.09,0,0.02,0.2,,,,,,, 
Valkyria Chronicles,PS4,2016,Role-Playing,Sega,0.07,0.05,0.05,0.03,0.2,,,,,,, 
Disney's Planes,WiiU,2013,Simulation,Disney Interactive Studios,0.14,0.04,0,0.02,0.2,51,10,5.3,9,Behaviour Interactive,E,53
Zombie Army Trilogy,PS4,2015,Shooter,Rebellion Developments,0.05,0.12,0,0.03,0.2,62,26,6.8,88,Rebellion,,68
The Heavy Rain and Beyond: Two Souls Collection,PS4,2016,Action,Sony Computer Entertainment,0,0.17,0,0.03,0.2,,,,,,, 
NBA Live 14,Xbox One,2013,Sports,Electronic Arts,0.16,0.02,0,0.02,0.2,36,14,3.1,88,EA Sports,E,31
Dragon Ball: Xenoverse 2,Xbox One,2016,Action,Namco Bandai Games,0.11,0.07,0,0.02,0.2,73,8,7.3,29,Dimps Corporation,T,73
Odin Sphere: Leifthrasir,PS4,2016,Role-Playing,Nippon Ichi Software,0.07,0.04,0.07,0.02,0.2,87,49,8.2,178,Vanillaware,T,82
Sleeping Dogs,Xbox One,2014,Action,Square Enix,0.1,0.09,0,0.02,0.2,,,,,,, 
Farming Simulator 2015,Xbox One,2015,Simulation,Koch Media,0.1,0.08,0,0.02,0.2,,,,,,, 
Bound By Flame,PS4,2014,Role-Playing,Focus Home Interactive,0.08,0.09,0,0.03,0.19,53,40,5.9,230,Spiders,M,59
Fighter Within,Xbox One,2013,Fighting,Ubisoft,0.11,0.07,0,0.02,0.19,23,39,3,211,Ubisoft,T,30
Guitar Hero Live,WiiU,2015,Misc,Activision,0.12,0.05,0,0.02,0.19,84,4,6.1,36,"Activision, FreeStyleGames",T,61
Dynasty Warriors 8: Empires,PS4,2014,Action,Tecmo Koei,0.06,0.07,0.03,0.03,0.19,63,30,7.5,42,Omega Force,T,75
Injustice: Gods Among Us,WiiU,2013,Fighting,Warner Bros. Interactive Entertainment,0.09,0.08,0,0.02,0.19,82,5,7.9,112,NetherRealm Studios,T,79
Resident Evil: Revelations,WiiU,2013,Action,Capcom,0.07,0.07,0.03,0.01,0.19,80,19,7.5,146,Capcom,M,75
Taiko no Tatsujin: Wii U Version!,WiiU,2013,Misc,Namco Bandai Games,0,0,0.19,0,0.19,,,,,,, 
Singstar: Ultimate Party,PS4,2014,Misc,Sony Computer Entertainment Europe,0,0.16,0,0.03,0.19,47,19,4.1,18,SCEE,,41
Dance Central: Spotlight,Xbox One,2014,Misc,Microsoft Game Studios,0.15,0.03,0,0,0.19,74,19,7,47,Harmonix Music Systems,T,70
Sword Art Online: Hollow Realization,PS4,2016,Role-Playing,Namco Bandai Games,0.06,0.02,0.1,0.02,0.19,69,32,7.7,52,Bandai Namco Games,T,77
Godzilla (2015),PS4,2014,Action,Namco Bandai Games,0.11,0.03,0.02,0.03,0.19,,,,,,, 
Shape Up,Xbox One,2014,Misc,Ubisoft,0.08,0.09,0,0.01,0.18,58,6,8.3,28,Ubisoft Montreal,E,83
Tekken Tag Tournament 2,WiiU,2012,Fighting,Namco Bandai Games,0.09,0.07,0.01,0.01,0.18,,,,,,, 
Ninja Gaiden 3,WiiU,2012,Action,Nintendo,0.14,0.03,0,0.02,0.18,,,,,,, 
Saint Seiya: Soldiers' Soul,PS4,2015,Fighting,Namco Bandai Games,0,0.12,0.04,0.02,0.18,59,30,7.8,45,Dimps Corporation,T,78
MotoGP 14 ,PS4,2014,Racing,Milestone S.r.l.,0.04,0.11,0,0.03,0.18,73,28,6.4,26,Milestone S.r.l,E,64
Skylanders Imaginators,WiiU,2016,Platform,Activision,0.09,0.08,0,0.02,0.18,76,4,tbd,,Toys for Bob,E10+, 
Payday 2,Xbox One,2015,Shooter,505 Games,0.09,0.07,0,0.02,0.18,,,,,,, 
Senran Kagura: Estival Versus,PS4,2015,Action,Marvelous Interactive,0.08,0,0.08,0.02,0.18,67,25,8,96,Marvelous Inc.,M,80
Back to the Future: The Game,PS4,2015,Adventure,Telltale Games,0.1,0.05,0,0.03,0.18,,,7.1,18,Telltale Games,T,71
NBA Live 16,PS4,2015,Sports,Electronic Arts,0.1,0.04,0,0.03,0.18,59,27,6.1,70,EA Sports,E,61
Project Spark,Xbox One,2014,Misc,Microsoft Game Studios,0.11,0.05,0,0.02,0.17,73,26,7,151,Microsoft Game Studios,E10+,70
Yakuza Zero: The Place of Oath,PS4,2015,Action,Sega,0,0,0.17,0,0.17,,,,,,, 
MotoGP 15,PS4,2015,Racing,Milestone S.r.l.,0,0.12,0.03,0.02,0.17,66,15,,,Milestone S.r.l,, 
Toukiden Kiwami,PS4,2015,Action,Tecmo Koei,0.05,0.07,0.02,0.02,0.17,74,35,7.6,74,Koei Tecmo Games,T,76
Jikkyou Powerful Pro Baseball 2016,PS4,2016,Sports,Konami Digital Entertainment,0,0,0.17,0,0.17,,,,,,, 
Deus Ex: Mankind Divided,Xbox One,2016,Role-Playing,Square Enix,0.09,0.06,0,0.01,0.17,83,18,7.2,175,Eidos Montreal,M,72
Bladestorm: Nightmare,PS4,2015,Action,Tecmo Koei,0.08,0.04,0.03,0.02,0.17,58,33,6.5,21,Omega Force,T,65
Mirror's Edge Catalyst,Xbox One,2016,Platform,Electronic Arts,0.09,0.06,0,0.01,0.16,72,46,4.4,266,EA DICE,T,44
Murdered: Soul Suspect,Xbox One,2014,Action,Square Enix,0.08,0.07,0,0.01,0.16,51,17,7,130,Airtight Games,M,70
Guilty Gear Xrd: Sign,PS4,2014,Fighting,Arc System Works,0.1,0,0.04,0.02,0.16,,,,,,, 
Angry Birds Star Wars,Xbox One,2013,Strategy,Activision,0.11,0.04,0,0.02,0.16,53,4,6.9,63,Exient Entertainment,E,69
Yakuza Kiwami,PS4,2016,Adventure,Sega,0,0,0.16,0,0.16,,,,,Ryu ga Gotoku Studios,, 
BioShock The Collection,Xbox One,2016,Shooter,Take-Two Interactive,0.08,0.06,0,0.01,0.16,84,16,8.3,79,2K Games,M,83
Putty Squad,PS4,2013,Platform,System 3,0.06,0.07,0,0.03,0.16,38,8,2.9,52,System 3,E10+,29
The Walking Dead: Season One,Xbox One,2014,Adventure,Telltale Games,0.08,0.06,0,0.01,0.16,,,,,,, 
Fantasia: Music Evolved,Xbox One,2014,Misc,Disney Interactive Studios,0.11,0.03,0,0.01,0.15,77,48,7.5,67,Harmonix Music Systems,E10+,75
Wolfenstein: The Old Blood,Xbox One,2015,Action,Bethesda Softworks,0.07,0.07,0,0.01,0.15,75,23,8,101,MachineGames,,80
Darksiders II,WiiU,2012,Action,THQ,0.07,0.07,0,0.01,0.15,85,36,8.2,153,Vigil Games,M,82
Warriors Orochi 3,PS4,2014,Action,Tecmo Koei,0.04,0.05,0.04,0.02,0.15,,,,,,, 
Dishonored,Xbox One,2015,Action,Bethesda Softworks,0.09,0.05,0,0.01,0.15,,,,,,, 
Battleborn,Xbox One,2016,Shooter,Take-Two Interactive,0.1,0.04,0,0.01,0.15,71,20,7.2,171,Gearbox Software,T,72
The King of Fighters XIV,PS4,2016,Fighting,Deep Silver,0.07,0.02,0.04,0.02,0.15,79,54,8.7,208,SNK Playmore,T,87
LEGO Harry Potter Collection,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.01,0.11,0,0.02,0.15,73,16,8.1,7,Warner Bros. Interactive Entertainment,E10+,81
Yakuza: Ishin,PS4,2014,Action,Sega,0,0,0.15,0,0.15,,,,,,, 
Lego Star Wars: The Force Awakens,WiiU,2016,Action,Warner Bros. Interactive Entertainment,0.06,0.07,0.01,0.01,0.15,74,6,8,11,TT Games,E10+,80
ReCore,Xbox One,2016,Action,Microsoft Game Studios,0.08,0.05,0,0.01,0.15,63,75,6.6,445,"Armature Studio, comcept",T,66
BlazBlue: Chrono Phantasma Extend,PS4,2015,Action,PQube,0.07,0.03,0.02,0.02,0.14,80,10,7.7,31,Arc System Works,T,77
Skylanders Imaginators,PS4,2016,Platform,Activision,0.04,0.08,0,0.02,0.14,80,47,5.5,17,Toys for Bob,E10+,55
XCOM 2,PS4,2016,Strategy,Take-Two Interactive,0.04,0.08,0,0.02,0.14,88,28,8,116,Firaxis Games,T,80
Pro Evolution Soccer 2015,Xbox One,2014,Sports,Konami Digital Entertainment,0.03,0.1,0,0.01,0.14,79,9,7.3,65,Konami,E,73
The Walking Dead: Season Two,Xbox One,2014,Adventure,Telltale Games,0.08,0.05,0,0.01,0.14,,,,,,, 
Homefront: The Revolution,Xbox One,2016,Shooter,Deep Silver,0.06,0.07,0,0.01,0.14,49,12,4.1,106,Deep Silver Dambuster Studios,M,41
7 Days to Die,PS4,2016,Action,Telltale Games,0.04,0.08,0,0.02,0.14,45,16,5.9,140,The Fun Pimps Entertainment LLC,M,59
Transformers: Devastation,Xbox One,2015,Action,Activision,0.09,0.04,0,0.01,0.14,75,25,7.9,55,PlatinumGames,T,79
Dead Island Definitive Collection,PS4,2016,Action,Deep Silver,0.03,0.07,0.01,0.02,0.14,63,32,6.4,45,Techland,M,64
DmC: Devil May Cry,Xbox One,2015,Action,Capcom,0.08,0.04,0,0.01,0.14,,,,,,, 
Brothers: A Tale of Two Sons,PS4,2015,Adventure,505 Games,0.03,0.08,0,0.02,0.14,81,10,8.6,73,Starbreeze,T,86
Your Shape: Fitness Evolved 2013,WiiU,2012,Action,Ubisoft,0.06,0.07,0,0.01,0.13,76,8,6.3,16,Blue Byte,E10+,63
Life is Strange,Xbox One,2016,Adventure,Square Enix,0.09,0.03,0,0.01,0.13,85,4,8.7,123,DONTNOD Entertainment,M,87
Gravity Rush Remastered,PS4,2015,Action,Sony Computer Entertainment,0.02,0.05,0.04,0.01,0.13,80,62,8.2,153,Bluepoint Games,T,82
Hasbro Family Fun Pack,Xbox One,2015,Misc,Ubisoft,0.1,0.02,0,0.01,0.13,,,tbd,,Ubisoft,E10+, 
Transformers: Prime,WiiU,2012,Action,Activision,0.09,0.03,0,0.01,0.13,,,,,,, 
Final Fantasy XIV: Heavensward,PS4,2015,Action,Square Enix,0,0.06,0.06,0.01,0.13,86,20,7.6,225,Square Enix,T,76
Watch Dogs,WiiU,2014,Action,Ubisoft,0.07,0.05,0,0.01,0.13,62,15,6.4,162,Ubisoft Romania,M,64
Game Party: Champions,WiiU,2012,Action,Warner Bros. Interactive Entertainment,0.09,0.03,0,0.01,0.13,24,8,3.5,21,"Phosphor Games Studio, LLC",E,35
NBA 2K13,WiiU,2012,Sports,Take-Two Interactive,0.07,0.04,0,0.01,0.13,85,17,7,43,Visual Concepts,E,70
WipeOut 3 The Game,WiiU,2012,Action,Activision,0.11,0,0,0.01,0.13,,,,,,, 
Deadpool,Xbox One,2015,Action,Activision,0.09,0.03,0,0.01,0.12,,,5.7,23,High Moon Studios,M,57
DiRT Rally,Xbox One,2016,Racing,Codemasters,0.04,0.08,0,0.01,0.12,86,17,8,60,Codemasters,E,80
F1 2016 (Codemasters),Xbox One,2016,Racing,Codemasters,0.03,0.08,0,0.01,0.12,,,,,,, 
James Bond 007: Legends,WiiU,2012,Shooter,Activision,0.06,0.05,0,0.01,0.12,,,,,,, 
Don Bradman Cricket 14,PS4,2015,Sports,Tru Blu Entertainment,0.01,0.09,0,0.02,0.12,76,4,7.4,19,Big Ant Studios,E,74
Atelier Sophie: The Alchemist of the Mysterious Book,PS4,2015,Role-Playing,Tecmo Koei,0.03,0.02,0.06,0.01,0.12,75,32,8.1,47,Gust,,81
Sword Art Online: Hollow Fragment,PS4,2015,Role-Playing,Namco Bandai Games,0,0.1,0,0.02,0.12,,,,,,, 
Robinson: The Journey,PS4,2016,Action,Crytek,0.06,0.03,0,0.02,0.12,65,40,6.9,62,Crytek,,69
Destiny: The Collection,Xbox One,2016,Shooter,Activision,0.05,0.06,0,0.01,0.12,,,tbd,,Bungie,T, 
Farming Simulator 17,Xbox One,2016,Simulation,Focus Home Interactive,0.04,0.07,0,0.01,0.12,65,9,tbd,,Giants Software,E, 
Tony Hawk's Pro Skater 5,Xbox One,2015,Sports,Activision,0.09,0.02,0,0.01,0.12,39,18,2.1,132,Robomodo,T,21
Rodea the Sky Soldier,WiiU,2015,Action,Nippon Ichi Software,0.08,0.02,0.01,0.01,0.12,45,31,6.5,81,"Prope, Kadokawa",E10+,65
Akiba's Trip: Undead & Undressed,PS4,2014,Action,Acquire,0.08,0,0.01,0.02,0.12,,,,,,, 
Marvel Avengers: Battle for Earth,WiiU,2012,Action,Ubisoft,0.06,0.04,0,0.01,0.12,50,10,5,25,Ubisoft Quebec,T,50
Tom Clancy's Splinter Cell: Blacklist,WiiU,2013,Action,Ubisoft,0.04,0.07,0,0.01,0.12,75,5,7.8,148,Ubisoft Toronto,M,78
Samurai Warriors 4-II,PS4,2015,Action,Tecmo Koei,0.03,0.02,0.06,0.01,0.12,73,26,7.3,24,Omega Force,T,73
LEGO Batman 2: DC Super Heroes,WiiU,2013,Action,Warner Bros. Interactive Entertainment,0.04,0.06,0,0.01,0.12,77,7,7.3,31,TT Games,E10+,73
Rugby 15,PS4,2015,Sports,Bigben Interactive,0.04,0.06,0,0.02,0.11,19,5,3.4,65,HB Studios Multimedia,E,34
Taiko Drum Master: Tokumori!,WiiU,2014,Misc,Namco Bandai Games,0,0,0.11,0,0.11,,,,,,, 
The Walking Dead: Survival Instinct,WiiU,2013,Shooter,Activision,0.08,0.03,0,0.01,0.11,,,4.6,49,Terminal Reality,M,46
Fatal Frame: Maiden of Black Water,WiiU,2014,Action,Nintendo,0,0.03,0.08,0,0.11,67,58,7.6,226,Koei Tecmo Games,M,76
Transformer: Rise of the Dark Spark,Xbox One,2014,Action,Activision,0.07,0.03,0,0.01,0.11,,,,,,, 
Digimon Story: Cyber Sleuth,PS4,2016,Role-Playing,Namco Bandai Games,0,0.1,0,0.02,0.11,75,45,8.5,289,Media Vision,T,85
Wasteland 2,PS4,2015,Role-Playing,Deep Silver,0.08,0,0.02,0.02,0.11,,,,,,, 
Batman: Return to Arkham,Xbox One,2016,Action,Warner Bros. Interactive Entertainment,0.05,0.05,0,0.01,0.11,77,6,8.2,43,"Rocksteady Studios, Virtuos",T,82
RIGS: Mechanized Combat League,PS4,2016,Action,Sony Computer Entertainment,0.03,0.05,0.01,0.02,0.11,79,42,7.9,76,Guerilla Cambridge,T,79
NBA Live 16,Xbox One,2015,Sports,Electronic Arts,0.09,0.01,0,0.01,0.11,60,17,5.6,62,EA Sports,E,56
Deus Ex: Human Revolution,WiiU,2013,Shooter,Square Enix,0.05,0.05,0,0.01,0.11,,,,,,, 
Zombie Army Trilogy,Xbox One,2015,Shooter,Rebellion Developments,0.05,0.05,0,0.01,0.11,62,10,7.2,40,Rebellion,,72
God Eater 2: Rage Burst,PS4,2015,Role-Playing,Namco Bandai Games,0,0.01,0.09,0,0.11,69,35,8,79,Shift,T,80
Pro Evolution Soccer 2016,Xbox One,2015,Sports,Konami Digital Entertainment,0.04,0.06,0,0.01,0.11,85,14,6.2,144,Konami,E,62
Fate/Extella: The Umbral Star,PS4,2016,Action,PQube,0,0,0.11,0,0.11,,,,,Marvelous Inc.,T, 
Ride,Xbox One,2015,Racing,Milestone S.r.l.,0.04,0.05,0,0.01,0.1,54,9,5.3,17,Milestone S.r.l,E,53
Scribblenauts Unmasked: A DC Comics Adventure,WiiU,2013,Puzzle,Warner Bros. Interactive Entertainment,0.09,0,0,0.01,0.1,71,17,6.3,39,5TH Cell,E10+,63
Resident Evil: Revelations 2,Xbox One,2015,Action,Capcom,0.07,0.02,0,0.01,0.1,75,22,7.5,106,Capcom,M,75
Earth Defense Force 2025.1: The Shadow of New Despair,PS4,2015,Action,D3Publisher,0,0,0.1,0,0.1,,,,,,, 
Ultra Street Fighter IV,PS4,2015,Fighting,Capcom,0,0.08,0,0.01,0.1,71,28,5.9,94,Other Ocean Interactive,T,59
EVE: Valkyrie,PS4,2016,Shooter,CCP,0.03,0.05,0,0.02,0.1,73,26,6.3,37,CCP,T,63
The Crew: Wild Run,PS4,2015,Action,Ubisoft,0,0.08,0,0.01,0.1,73,13,6.8,50,Ivory Tower,T,68
Natural Doctrine,PS4,2014,Role-Playing,Nippon Ichi Software,0.05,0.02,0.02,0.01,0.1,53,31,6,79,Kadokawa,M,60
Angry Birds Star Wars,WiiU,2013,Strategy,Activision,0.05,0.04,0,0.01,0.1,,,6.8,17,Exient Entertainment,E,68
The Idolmaster: Platinum Stars,PS4,2016,Simulation,Namco Bandai Games,0,0,0.1,0,0.1,,,,,,, 
Shovel Knight,WiiU,2015,Platform,Yacht Club Games,0.05,0.04,0,0.01,0.1,88,24,8.3,280,Yacht Club Games,E,83
Gundam Breaker 3,PS4,2016,Action,Namco Bandai Games,0,0,0.1,0,0.1,,,,,,, 
Samurai Warriors 4: Empires,PS4,2015,Action,Tecmo Koei,0.02,0.01,0.06,0.01,0.1,71,29,6.5,15,Omega Force,T,65
Skylanders Imaginators,Xbox One,2016,Platform,Activision,0.05,0.04,0,0.01,0.1,78,14,6,8,Toys for Bob,E10+,60
The Voice,WiiU,2014,Action,Activision,0.08,0,0,0.01,0.1,,,,,,, 
Just Dance 2017,WiiU,2016,Misc,Ubisoft,0.03,0.06,0,0.01,0.09,,,tbd,,Ubisoft Paris,E10+, 
Super Robot Wars OG: The Moon Dwellers,PS4,2016,Misc,Namco Bandai Games,0,0,0.09,0,0.09,,,,,,, 
Devil May Cry 4,PS4,2015,Action,Capcom,0.01,0,0.08,0,0.09,,,,,,, 
Adventure Time: Finn & Jake Investigations,PS4,2015,Action,Little Orbit,0.03,0.05,0,0.02,0.09,,,,,,, 
Teenage Mutant Ninja Turtles: Mutants in Manhattan,PS4,2016,Action,Activision,0.05,0.02,0,0.02,0.09,44,49,5.5,163,PlatinumGames,T,55
MXGP 2,PS4,2016,Racing,Milestone S.r.l.,0.02,0.05,0,0.01,0.09,,,,,,, 
DriveClub VR,PS4,2016,Racing,Sony Computer Entertainment,0.03,0.05,0,0.01,0.09,67,34,7.4,110,Evolution Studios,E,74
Arslan: The Warriors of Legend,PS4,2015,Action,Tecmo Koei,0.03,0.01,0.04,0.01,0.09,69,43,6.6,23,Omega Force,T,66
The Amazing Spider-Man (Console Version),WiiU,2013,Action,Activision,0.05,0.03,0,0.01,0.09,,,,,,, 
Dead or Alive 5,Xbox One,2015,Fighting,Tecmo Koei,0.05,0.03,0.01,0.01,0.09,,,,,,, 
Batman: A Telltale Game Series,PS4,2016,Adventure,Telltale Games,0.03,0.05,0,0.01,0.09,,,,,,, 
Rugby 15,Xbox One,2015,Sports,Bigben Interactive,0.03,0.05,0,0.01,0.09,20,4,3.1,30,HB Studios Multimedia,E,31
The Witch and the Hundred Knight,PS4,2015,Role-Playing,Nippon Ichi Software,0.02,0.01,0.05,0.01,0.09,,,,,,, 
Just Dance Wii U,WiiU,2014,Misc,Nintendo,0,0,0.09,0,0.09,,,,,,, 
Assassin's Creed Chronicles,PS4,2016,Action,Ubisoft,0.01,0.05,0.01,0.01,0.09,,,6.1,12,Climax Studios,T,61
The Smurfs 2,WiiU,2013,Platform,Ubisoft,0.04,0.03,0,0.01,0.09,42,5,5.6,21,WayForward,E,56
Lara Croft and the Temple of Osiris,PS4,2014,Action,Square Enix,0,0.07,0,0.01,0.09,74,40,6.7,128,Nixxes Software,T,67
Toukiden 2,PS4,2016,Action,Tecmo Koei,0,0,0.08,0,0.08,,,,,Koei Tecmo Games,, 
SD Gundam G Generation Genesis,PS4,2016,Strategy,Namco Bandai Games,0,0,0.08,0,0.08,,,,,,, 
BlazBlue Central Fiction,PS4,2016,Fighting,PQube,0.04,0,0.03,0.01,0.08,85,21,7.6,39,Arc System Works,T,76
How to Train Your Dragon 2,WiiU,2014,Adventure,Little Orbit,0.03,0.05,0,0.01,0.08,47,4,4.9,7,Torus Games,E10+,49
The Golf Club,PS4,2014,Sports,Unknown,0.05,0.02,0,0.01,0.08,66,11,6.3,67,HB Studios Multimedia,E,63
God Eater Resurrection,PS4,2015,Action,Namco Bandai Games,0,0,0.08,0,0.08,70,18,7.8,44,"Shift, Bandai Namco Games",T,78
Shovel Knight,PS4,2015,Platform,Yacht Club Games,0.03,0.03,0,0.01,0.08,90,18,7.6,312,Yacht Club Games,E,76
Guilty Gear Xrd -Revelator-,PS4,2016,Fighting,PQube,0.03,0,0.05,0.01,0.08,,,,,,, 
Mega Man Legacy Collection,PS4,2016,Platform,Capcom,0.07,0,0,0.02,0.08,77,22,6.1,55,Digital Eclipse,E,61
Warriors Orochi 3 Hyper,WiiU,2012,Action,Tecmo Koei,0.04,0.02,0.02,0.01,0.08,64,18,7.4,31,Omega Force,T,74
Pro Cycling Manager 2016,PS4,2016,Sports,Focus Home Interactive,0,0.07,0,0.01,0.08,,,,,,, 
Sherlock Holmes: Crimes & Punishments,Xbox One,2014,Adventure,Focus Home Interactive,0.03,0.04,0,0.01,0.08,,,,,,, 
Resident Evil 6,PS4,2016,Shooter,Capcom,0.06,0,0,0.01,0.08,60,19,6.7,94,Capcom,M,67
Song of the Deep,PS4,2016,Action,Insomniac Games,0.06,0,0,0.01,0.08,69,41,7.3,30,Insomniac Games,E,73
Dragon's Dogma Online,PS4,2015,Role-Playing,Capcom,0,0,0.08,0,0.08,,,,,,, 
Resident Evil Zero,Xbox One,2016,Action,Capcom,0.05,0.02,0,0.01,0.08,,,,,,, 
Assassin's Creed The Ezio Collection,Xbox One,2016,Action,Ubisoft,0.03,0.04,0,0.01,0.08,74,13,7.6,24,Ubisoft Montreal,M,76
Just Dance: Disney Party 2,WiiU,2015,Action,Ubisoft,0.06,0.01,0,0.01,0.08,,,tbd,,Ubisoft,E, 
Valentino Rossi: The Game,PS4,2016,Racing,Namco Bandai Games,0.01,0.05,0,0.01,0.08,75,19,8,50,"Milestone, Milestone S.r.l",E,80
Yoru no Nai Kuni,PS4,2015,Role-Playing,Tecmo Koei,0,0,0.08,0,0.08,,,,,,, 
The Wolf Among Us,Xbox One,2014,Adventure,Telltale Games,0.05,0.02,0,0.01,0.08,,,8.5,82,Telltale Games,M,85
Romance of the Three Kingdoms 13,PS4,2015,Action,Tecmo Koei,0.02,0,0.05,0.01,0.08,,,,,,, 
Grand Ages: Medieval,PS4,2015,Strategy,Kalypso Media,0,0.05,0.02,0.01,0.07,64,10,7.1,12,Gaming Minds Studios,T,71
Killer Instinct (2013),Xbox One,2013,Fighting,Microsoft Game Studios,0.04,0.03,0,0.01,0.07,,,,,,, 
Divinity: Original Sin,Xbox One,2015,Role-Playing,Focus Home Interactive,0.04,0.03,0,0.01,0.07,,,,,,, 
Toy Soldiers: War Chest,PS4,2015,Action,Ubisoft,0.06,0,0,0.01,0.07,62,19,7.7,61,Krome Studios,,77
Fairy Fencer F: Advent Dark Force,PS4,2015,Role-Playing,Idea Factory International,0.02,0,0.05,0,0.07,71,21,6.2,34,Compile Heart,T,62
Just Dance: Disney Party 2,Xbox One,2015,Action,Ubisoft,0.05,0.01,0,0.01,0.07,,,tbd,,Ubisoft,E, 
Grand Kingdom,PS4,2015,Role-Playing,Nippon Ichi Software,0.03,0,0.03,0.01,0.07,78,33,8.1,63,Spike Chunsoft,T,81
Dynasty Warriors 8: Empires,Xbox One,2014,Action,Tecmo Koei,0.04,0.02,0,0.01,0.07,58,10,6.8,15,Koei Tecmo Games,T,68
Tank! Tank! Tank!,WiiU,2012,Action,Namco Bandai Games,0.02,0.01,0.05,0,0.07,,,,,,, 
Eagle Flight,PS4,2016,Adventure,Ubisoft,0.01,0.05,0,0.01,0.07,72,31,7.8,22,"Ubisoft, FunHouse",E10+,78
Legend of Kay,PS4,2015,Action,Nordic Games,0.02,0.03,0,0.01,0.07,,,,,,, 
The Book of Unwritten Tales 2,PS4,2015,Adventure,Nordic Games,0,0.06,0,0.01,0.07,63,9,8.6,7,KING Art,,86
Terraria,PS4,2014,Action,505 Games,0,0.05,0.01,0.01,0.07,83,4,7.9,47,Engine Software,T,79
BlazBlue: Chrono Phantasma Extend,Xbox One,2015,Action,PQube,0.05,0.01,0,0.01,0.07,,,6.3,4,Arc System Works,T,63
Pac-Man and the Ghostly Adventures 2,WiiU,2014,Adventure,Namco Bandai Games,0.04,0.02,0,0.01,0.07,,,7,9,Vicious Cycle,E10+,70
Broken Sword 5: The Serpent's Curse,PS4,2015,Adventure,Revolution Software,0,0.06,0,0.01,0.07,72,14,7.2,23,Revolution Software,T,72
Taiko no Tatsujin: Atsumete Tomodachi Daisakusen!,WiiU,2015,Misc,Namco Bandai Games,0,0,0.06,0,0.06,,,,,,, 
One Piece: Unlimited World Red,WiiU,2014,Action,Namco Bandai Games,0,0.04,0.02,0,0.06,66,11,7.8,43,Ganbarion,T,78
Darksiders II,Xbox One,2015,Action,Nordic Games,0.04,0.02,0,0.01,0.06,,,,,,, 
Assetto Corsa,PS4,2016,Racing,505 Games,0,0.05,0,0.01,0.06,73,35,6.2,70,Kunos Simulazioni,E,62
One Piece: Burning Blood,Xbox One,2016,Fighting,Namco Bandai Games,0.03,0.02,0,0.01,0.06,60,10,5.8,12,Spike Chunsoft,T,58
TrackMania Turbo,Xbox One,2016,Action,Ubisoft,0.02,0.04,0,0,0.06,76,12,7.7,27,Nadeo,E,77
Nights of Azure,PS4,2015,Action,Tecmo Koei,0.03,0.02,0,0.01,0.06,67,40,7.6,71,Gust,T,76
DuckTales: Remastered,WiiU,2013,Action,Capcom,0.06,0,0,0.01,0.06,76,10,7.9,100,WayForward,E,79
Risen 3: Titan Lords,PS4,2015,Role-Playing,Deep Silver,0,0.05,0,0.01,0.06,,,,,,, 
Transformer: Rise of the Dark Spark,WiiU,2014,Action,Activision,0.04,0.01,0,0.01,0.06,,,,,,, 
Earth Defense Force 4.1: The Shadow of New Despair,PS4,2015,Shooter,Xseed Games,0.03,0.02,0,0.01,0.06,64,40,7.9,51,Sandlot,M,79
The Technomancer,PS4,2016,Role-Playing,Focus Home Interactive,0.02,0.04,0,0.01,0.06,60,38,6.7,116,Spiders,M,67
Attack on Titan (KOEI),Xbox One,2016,Action,Tecmo Koei,0.02,0.03,0,0,0.06,,,,,,, 
Project Setsuna,PS4,2016,Role-Playing,Square Enix,0,0,0.06,0,0.06,,,,,,, 
Song of the Deep,Xbox One,2016,Action,Insomniac Games,0.05,0,0,0.01,0.06,66,12,6.9,20,Insomniac Games,E,69
Devil's Third,WiiU,2015,Action,Nintendo,0.04,0.02,0,0.01,0.06,43,54,6.5,283,Valhalla Game Studios,M,65
MXGP 2,Xbox One,2016,Racing,Milestone S.r.l.,0.03,0.02,0,0.01,0.06,,,,,,, 
Utawarerumono: Itsuwari no Kamen,PS4,2015,Adventure,Aqua Plus,0,0,0.06,0,0.06,,,,,,, 
Toy Soldiers: War Chest,Xbox One,2015,Action,Ubisoft,0.05,0,0,0.01,0.06,60,14,8.4,50,Krome Studios,,84
Kamen Rider: Battride War Genesis,PS4,2016,Action,Namco Bandai Games,0,0,0.06,0,0.06,,,,,,, 
